[dagrand seed=22] checked=640000 bytau=[(2, 167695), (3, 119676), (4, 91452), (5, 60704), (6, 48361), (7, 38209), (8, 30098), (9, 23302), (10, 18080), (11, 13797), (12, 10327), (13, 7162), (14, 4713), (15, 2918), (16, 1769), (17, 902), (18, 485), (19, 216), (20, 99), (21, 24), (22, 7), (23, 3), (24, 1)] t=1478s
[dagrand seed=22] checked=660000 bytau=[(2, 173000), (3, 123452), (4, 94254), (5, 62585), (6, 49853), (7, 39508), (8, 31028), (9, 23996), (10, 18636), (11, 14207), (12, 10619), (13, 7393), (14, 4869), (15, 3000), (16, 1814), (17, 922), (18, 502), (19, 222), (20, 102), (21, 26), (22, 8), (23, 3), (24, 1)] t=1543s
[dagrand seed=22] checked=680000 bytau=[(2, 178215), (3, 127236), (4, 97087), (5, 64459), (6, 51392), (7, 40690), (8, 31978), (9, 24735), (10, 19206), (11, 14650), (12, 10913), (13, 7631), (14, 5009), (15, 3088), (16, 1869), (17, 956), (18, 520), (19, 225), (20, 103), (21, 26), (22, 8), (23, 3), (24, 1)] t=1598s
[dagrand seed=22] checked=700000 bytau=[(2, 183472), (3, 130986), (4, 99946), (5, 66396), (6, 52844), (7, 41889), (8, 32864), (9, 25464), (10, 19788), (11, 15112), (12, 11221), (13, 7866), (14, 5167), (15, 3164), (16, 1925), (17, 994), (18, 530), (19, 228), (20, 105), (21, 27), (22, 8), (23, 3), (24, 1)] t=1640s
[dagrand seed=22] checked=720000 bytau=[(2, 188740), (3, 134739), (4, 102675), (5, 68349), (6, 54358), (7, 43127), (8, 33799), (9, 26152), (10, 20401), (11, 15558), (12, 11505), (13, 8095), (14, 5315), (15, 3254), (16, 1981), (17, 1024), (18, 547), (19, 230), (20, 111), (21, 28), (22, 8), (23, 3), (24, 1)] t=1680s
[dagrand seed=22] checked=740000 bytau=[(2, 193922), (3, 138514), (4, 105589), (5, 70234), (6, 55914), (7, 44373), (8, 34732), (9, 26848), (10, 20936), (11, 15953), (12, 11829), (13, 8303), (14, 5472), (15, 3340), (16, 2037), (17, 1052), (18, 562), (19, 234), (20, 115), (21, 29), (22, 8), (23, 3), (24, 1)] t=1717s
[dagrand seed=22] checked=760000 bytau=[(2, 199201), (3, 142220), (4, 108486), (5, 72135), (6, 57418), (7, 45582), (8, 35641), (9, 27538), (10, 21517), (11, 16384), (12, 12122), (13, 8545), (14, 5622), (15, 3443), (16, 2092), (17, 1081), (18, 572), (19, 241), (20, 117), (21, 30), (22, 8), (23, 3), (24, 2)] t=1756s
[dagrand seed=22] checked=780000 bytau=[(2, 204332), (3, 146046), (4, 111367), (5, 74011), (6, 58955), (7, 46760), (8, 36568), (9, 28299), (10, 22085), (11, 16802), (12, 12450), (13, 8795), (14, 5749), (15, 3519), (16, 2142), (17, 1121), (18, 595), (19, 242), (20, 119), (21, 30), (22, 8), (23, 3), (24, 2)] t=1794s
[dagrand seed=22] checked=800000 bytau=[(2, 209515), (3, 149845), (4, 114244), (5, 75953), (6, 60446), (7, 47930), (8, 37493), (9, 28996), (10, 22655), (11, 17278), (12, 12750), (13, 9018), (14, 5892), (15, 3613), (16, 2198), (17, 1149), (18, 611), (19, 250), (20, 121), (21, 30), (22, 8), (23, 3), (24, 2)] t=1834s
[dagrand seed=22] checked=820000 bytau=[(2, 214645), (3, 153509), (4, 117164), (5, 77846), (6, 61969), (7, 49101), (8, 38440), (9, 29778), (10, 23238), (11, 17730), (12, 13085), (13, 9244), (14, 6046), (15, 3716), (16, 2260), (17, 1179), (18, 630), (19, 254), (20, 122), (21, 31), (22, 8), (23, 3), (24, 2)] t=1875s
