[n=13 it=6 t=0s] min-decomp=5 (bound 6) m=50
[n=13 it=72600 t=5408s] cur=5 best=5 m=45 cache=51366
[n=13 it=72800 t=5417s] cur=5 best=5 m=52 cache=51509
[n=13 it=73000 t=5428s] cur=5 best=5 m=50 cache=51654
[n=13 it=73200 t=5439s] cur=5 best=5 m=49 cache=51793
[n=13 it=73600 t=5458s] cur=5 best=5 m=46 cache=52070
[n=13 it=73800 t=5469s] cur=5 best=5 m=50 cache=52218
[n=13 it=74000 t=5477s] cur=5 best=5 m=46 cache=52351
[n=13 it=74200 t=5487s] cur=5 best=5 m=48 cache=52497
[n=13 it=74400 t=5499s] cur=4 best=5 m=42 cache=52655
[n=13 it=74800 t=5525s] cur=4 best=5 m=44 cache=52930
[n=13 it=75000 t=5539s] cur=5 best=5 m=44 cache=53074
[n=13 it=75200 t=5555s] cur=4 best=5 m=43 cache=53213
[n=13 it=75400 t=5571s] cur=5 best=5 m=52 cache=53352
[n=13 it=75600 t=5587s] cur=5 best=5 m=51 cache=53494
[n=13 it=76000 t=5618s] cur=5 best=5 m=49 cache=53773
[n=13 it=76200 t=5635s] cur=5 best=5 m=50 cache=53920
[n=13 it=76600 t=5665s] cur=5 best=5 m=45 cache=54198
[n=13 it=77200 t=5709s] cur=4 best=5 m=41 cache=54599
[n=13 it=77400 t=5725s] cur=5 best=5 m=51 cache=54748
[n=13 it=77800 t=5759s] cur=4 best=5 m=47 cache=55049
[n=13 it=78000 t=5772s] cur=5 best=5 m=48 cache=55182
[n=13 it=78400 t=5806s] cur=5 best=5 m=51 cache=55472
[n=13 it=78600 t=5821s] cur=5 best=5 m=52 cache=55619
[n=13 it=78800 t=5838s] cur=5 best=5 m=50 cache=55765
[n=13 it=79000 t=5854s] cur=5 best=5 m=52 cache=55908
[n=13 it=79400 t=5888s] cur=4 best=5 m=43 cache=56200
[n=13 it=79800 t=5918s] cur=5 best=5 m=46 cache=56475
[n=13 it=80400 t=5963s] cur=5 best=5 m=45 cache=56886
[n=13 it=80800 t=5994s] cur=5 best=5 m=46 cache=57172
[n=13 it=81000 t=6010s] cur=5 best=5 m=48 cache=57309
[n=13 it=81200 t=6026s] cur=5 best=5 m=51 cache=57451
[n=13 it=81400 t=6042s] cur=5 best=5 m=51 cache=57594
[n=13 it=81600 t=6056s] cur=5 best=5 m=51 cache=57719
[n=13 it=81800 t=6069s] cur=5 best=5 m=46 cache=57848
[n=13 it=82000 t=6084s] cur=5 best=5 m=49 cache=57989
[n=13 it=82600 t=6126s] cur=5 best=5 m=46 cache=58397
[n=13 it=82800 t=6140s] cur=5 best=5 m=53 cache=58538
[n=13 it=83000 t=6156s] cur=5 best=5 m=51 cache=58684
[n=13 it=83200 t=6172s] cur=5 best=5 m=48 cache=58836
[n=13 it=83400 t=6186s] cur=5 best=5 m=48 cache=58962
[n=13 it=83600 t=6200s] cur=5 best=5 m=48 cache=59097
[n=13 it=83800 t=6216s] cur=5 best=5 m=46 cache=59236
[n=13 it=84000 t=6232s] cur=5 best=5 m=48 cache=59378
[n=13 it=84200 t=6249s] cur=5 best=5 m=47 cache=59507
[n=13 it=84400 t=6266s] cur=4 best=5 m=45 cache=59649
[n=13 it=84800 t=6298s] cur=5 best=5 m=45 cache=59928
[n=13 it=85000 t=6312s] cur=5 best=5 m=48 cache=60066
[n=13 it=85200 t=6326s] cur=4 best=5 m=44 cache=60199
[n=13 it=85600 t=6357s] cur=4 best=5 m=42 cache=60496
[n=13 it=85800 t=6370s] cur=5 best=5 m=52 cache=60624
[n=13 it=86000 t=6388s] cur=5 best=5 m=50 cache=60781
[n=13 it=86600 t=6434s] cur=5 best=5 m=48 cache=61199
[n=13 it=86800 t=6450s] cur=5 best=5 m=48 cache=61338
[n=13 it=87600 t=6514s] cur=5 best=5 m=43 cache=61908
[n=13 it=87800 t=6528s] cur=5 best=5 m=50 cache=62038
[n=13 it=88000 t=6543s] cur=4 best=5 m=45 cache=62160
[n=13 it=88200 t=6562s] cur=5 best=5 m=51 cache=62310
[n=13 it=88600 t=6592s] cur=5 best=5 m=46 cache=62592
[n=13 it=88800 t=6607s] cur=5 best=5 m=46 cache=62731
[n=13 it=89000 t=6621s] cur=5 best=5 m=46 cache=62869
[n=13 it=89200 t=6638s] cur=5 best=5 m=48 cache=63015
[n=13 it=89400 t=6656s] cur=5 best=5 m=50 cache=63164
[n=13 it=89600 t=6673s] cur=4 best=5 m=44 cache=63316
[n=13 it=89800 t=6687s] cur=5 best=5 m=46 cache=63448
[n=13 it=90000 t=6700s] cur=5 best=5 m=44 cache=63576
[n=13 it=90200 t=6715s] cur=5 best=5 m=45 cache=63712
[n=13 it=90600 t=6746s] cur=4 best=5 m=46 cache=63993
[n=13 it=90800 t=6762s] cur=5 best=5 m=48 cache=64131
[n=13 it=91000 t=6776s] cur=5 best=5 m=43 cache=64266
[n=13 it=91400 t=6806s] cur=5 best=5 m=45 cache=64539
[n=13 it=91800 t=6834s] cur=5 best=5 m=45 cache=64812
[n=13 it=92000 t=6849s] cur=5 best=5 m=51 cache=64949
[n=13 it=92400 t=6880s] cur=5 best=5 m=47 cache=65231
[n=13 it=92600 t=6894s] cur=5 best=5 m=48 cache=65367
[n=13 it=93000 t=6924s] cur=5 best=5 m=47 cache=65646
[n=13 it=93200 t=6940s] cur=5 best=5 m=46 cache=65785
[n=13 it=93600 t=6975s] cur=5 best=5 m=47 cache=66082
[n=13 it=94000 t=7005s] cur=5 best=5 m=50 cache=66359
[n=13 it=94200 t=7021s] cur=5 best=5 m=46 cache=66503
[n=13 it=94400 t=7037s] cur=5 best=5 m=49 cache=66644
[n=13 it=94600 t=7052s] cur=5 best=5 m=51 cache=66789
[n=13 it=94800 t=7067s] cur=5 best=5 m=48 cache=66921
[n=13 it=95000 t=7083s] cur=5 best=5 m=43 cache=67065
[n=13 it=95200 t=7100s] cur=5 best=5 m=51 cache=67206
[n=13 it=95400 t=7117s] cur=5 best=5 m=46 cache=67355
[n=13 it=95600 t=7133s] cur=4 best=5 m=44 cache=67490
[n=13 it=96200 t=7180s] cur=5 best=5 m=48 cache=67906
[n=13 it=96400 t=7198s] cur=5 best=5 m=44 cache=68067
[n=13 it=96600 t=7214s] cur=5 best=5 m=49 cache=68208
[n=13 it=97000 t=7246s] cur=5 best=5 m=49 cache=68504
[n=13 it=97600 t=7290s] cur=5 best=5 m=47 cache=68918
[n=13 it=98000 t=7321s] cur=5 best=5 m=47 cache=69195
[n=13 it=98400 t=7352s] cur=5 best=5 m=48 cache=69469
[n=13 it=99000 t=7394s] cur=5 best=5 m=47 cache=69872
[n=13 it=99400 t=7424s] cur=4 best=5 m=47 cache=70139
[n=13 it=99600 t=7441s] cur=4 best=5 m=45 cache=70289
[n=13 it=99800 t=7457s] cur=5 best=5 m=48 cache=70434
[n=13 it=100200 t=7494s] cur=5 best=5 m=46 cache=70740
[n=13 it=100400 t=7511s] cur=5 best=5 m=46 cache=70890
[n=13 it=100600 t=7524s] cur=5 best=5 m=45 cache=71022
[n=13 it=100800 t=7541s] cur=5 best=5 m=48 cache=71168
[n=13 it=101000 t=7556s] cur=5 best=5 m=45 cache=71310
[n=13 it=101400 t=7590s] cur=5 best=5 m=48 cache=71609
[n=13 it=101600 t=7604s] cur=5 best=5 m=50 cache=71756
[n=13 it=101800 t=7621s] cur=5 best=5 m=50 cache=71896
[n=13 it=102000 t=7638s] cur=5 best=5 m=50 cache=72045
[n=13 it=102200 t=7654s] cur=4 best=5 m=43 cache=72192
[n=13 it=102400 t=7671s] cur=5 best=5 m=51 cache=72346
[n=13 it=102600 t=7687s] cur=5 best=5 m=45 cache=72497
[n=13 it=103000 t=7717s] cur=5 best=5 m=46 cache=72778
[n=13 it=103200 t=7731s] cur=5 best=5 m=45 cache=72903
[n=13 it=103400 t=7745s] cur=5 best=5 m=47 cache=73037
[n=13 it=103600 t=7760s] cur=5 best=5 m=50 cache=73177
[n=13 it=103800 t=7775s] cur=5 best=5 m=45 cache=73301
[n=13 it=104400 t=7823s] cur=5 best=5 m=43 cache=73734
[n=13 it=105400 t=7899s] cur=5 best=5 m=44 cache=74414
[n=13 it=105600 t=7914s] cur=5 best=5 m=47 cache=74553
[n=13 it=105800 t=7929s] cur=5 best=5 m=45 cache=74685
[n=13 it=106000 t=7944s] cur=5 best=5 m=44 cache=74829
[n=13 it=106200 t=7957s] cur=5 best=5 m=51 cache=74968
[n=13 it=106400 t=7973s] cur=5 best=5 m=51 cache=75116
[n=13 it=106600 t=7988s] cur=5 best=5 m=44 cache=75251
[n=13 it=106800 t=8004s] cur=5 best=5 m=47 cache=75385
[n=13 it=107200 t=8037s] cur=5 best=5 m=48 cache=75670
[n=13 it=107400 t=8053s] cur=4 best=5 m=45 cache=75800
[n=13 it=107800 t=8085s] cur=5 best=5 m=44 cache=76089
[n=13 it=108200 t=8119s] cur=5 best=5 m=48 cache=76376
[n=13 it=108400 t=8134s] cur=5 best=5 m=48 cache=76516
[n=13 it=108600 t=8150s] cur=5 best=5 m=48 cache=76661
[n=13 it=108800 t=8166s] cur=5 best=5 m=49 cache=76810
[n=13 it=109000 t=8180s] cur=5 best=5 m=51 cache=76951
[n=13 it=109400 t=8212s] cur=4 best=5 m=41 cache=77250
[n=13 it=109600 t=8228s] cur=5 best=5 m=42 cache=77392
[n=13 it=109800 t=8243s] cur=5 best=5 m=47 cache=77535
