it=84200 cur=1 best=1 T=0.60 elapsed=46s
it=84400 cur=1 best=1 T=0.59 elapsed=46s
it=84600 cur=1 best=1 T=0.59 elapsed=46s
it=84800 cur=1 best=1 T=0.59 elapsed=46s
it=85000 cur=1 best=1 T=0.58 elapsed=46s
it=85200 cur=1 best=1 T=0.58 elapsed=46s
it=85400 cur=1 best=1 T=0.58 elapsed=46s
it=85600 cur=1 best=1 T=0.57 elapsed=47s
it=85800 cur=1 best=1 T=0.57 elapsed=47s
it=86000 cur=1 best=1 T=0.57 elapsed=47s
it=86200 cur=1 best=1 T=0.56 elapsed=47s
it=86400 cur=1 best=1 T=0.56 elapsed=47s
it=86600 cur=1 best=1 T=0.56 elapsed=47s
it=86800 cur=1 best=1 T=0.55 elapsed=47s
it=87000 cur=1 best=1 T=0.55 elapsed=47s
it=87200 cur=1 best=1 T=0.55 elapsed=47s
it=87400 cur=1 best=1 T=0.54 elapsed=48s
it=87600 cur=1 best=1 T=0.54 elapsed=48s
it=87800 cur=1 best=1 T=0.54 elapsed=48s
it=88000 cur=1 best=1 T=0.53 elapsed=48s
it=88200 cur=1 best=1 T=0.53 elapsed=48s
it=88400 cur=1 best=1 T=0.53 elapsed=48s
it=88600 cur=1 best=1 T=0.52 elapsed=48s
it=88800 cur=1 best=1 T=0.52 elapsed=48s
it=89000 cur=1 best=1 T=0.52 elapsed=48s
it=89200 cur=1 best=1 T=0.51 elapsed=49s
it=89400 cur=1 best=1 T=0.51 elapsed=49s
it=89600 cur=1 best=1 T=0.51 elapsed=49s
it=89800 cur=1 best=1 T=0.50 elapsed=49s
it=90000 cur=1 best=1 T=0.50 elapsed=49s
it=90200 cur=1 best=1 T=0.50 elapsed=49s
it=90400 cur=1 best=1 T=0.49 elapsed=49s
it=90600 cur=1 best=1 T=0.49 elapsed=49s
it=90800 cur=1 best=1 T=0.49 elapsed=49s
it=91000 cur=1 best=1 T=0.48 elapsed=50s
