nohup: ignoring input
n=11 cnt=1900000 elapsed=10835s
n=11 cnt=1905000 elapsed=10858s
n=11 cnt=1910000 elapsed=10881s
n=11 cnt=1915000 elapsed=10905s
n=11 cnt=1920000 elapsed=10929s
n=11 cnt=1925000 elapsed=10952s
n=11 cnt=1930000 elapsed=10975s
n=11 cnt=1935000 elapsed=10997s
n=11 cnt=1940000 elapsed=11020s
n=11 cnt=1945000 elapsed=11043s
n=11 cnt=1950000 elapsed=11066s
n=11 cnt=1955000 elapsed=11089s
n=11 cnt=1960000 elapsed=11113s
n=11 cnt=1965000 elapsed=11135s
n=11 cnt=1970000 elapsed=11159s
n=11 cnt=1975000 elapsed=11182s
n=11 cnt=1980000 elapsed=11205s
n=11 cnt=1985000 elapsed=11228s
n=11 cnt=1990000 elapsed=11251s
n=11 cnt=1995000 elapsed=11279s
n=11 cnt=2000000 elapsed=11305s
n=11 cnt=2005000 elapsed=11331s
n=11 cnt=2010000 elapsed=11360s
n=11 cnt=2015000 elapsed=11389s
n=11 cnt=2020000 elapsed=11417s
n=11 cnt=2025000 elapsed=11439s
n=11 cnt=2030000 elapsed=11463s
n=11 cnt=2035000 elapsed=11487s
n=11 cnt=2040000 elapsed=11510s
n=11 cnt=2045000 elapsed=11535s
n=11 cnt=2050000 elapsed=11559s
n=11 cnt=2055000 elapsed=11583s
n=11 cnt=2060000 elapsed=11606s
n=11 cnt=2065000 elapsed=11629s
n=11 cnt=2070000 elapsed=11651s
n=11 cnt=2075000 elapsed=11674s
n=11 cnt=2080000 elapsed=11697s
n=11 cnt=2085000 elapsed=11720s
n=11 cnt=2090000 elapsed=11742s
n=11 cnt=2095000 elapsed=11764s
n=11 cnt=2100000 elapsed=11784s
n=11 cnt=2105000 elapsed=11803s
n=11 cnt=2110000 elapsed=11823s
n=11 cnt=2115000 elapsed=11841s
n=11 cnt=2120000 elapsed=11858s
n=11 cnt=2125000 elapsed=11876s
n=11 cnt=2130000 elapsed=11894s
n=11 cnt=2135000 elapsed=11911s
n=11 cnt=2140000 elapsed=11929s
n=11 cnt=2145000 elapsed=11948s
n=11 cnt=2150000 elapsed=11966s
n=11 cnt=2155000 elapsed=11984s
n=11 cnt=2160000 elapsed=12003s
n=11 cnt=2165000 elapsed=12022s
n=11 cnt=2170000 elapsed=12040s
n=11 cnt=2175000 elapsed=12060s
n=11 cnt=2180000 elapsed=12082s
n=11 cnt=2185000 elapsed=12102s
n=11 cnt=2190000 elapsed=12124s
n=11 cnt=2195000 elapsed=12146s
n=11 cnt=2200000 elapsed=12167s
n=11 cnt=2205000 elapsed=12190s
n=11 cnt=2210000 elapsed=12212s
n=11 cnt=2215000 elapsed=12231s
n=11 cnt=2220000 elapsed=12251s
n=11 cnt=2225000 elapsed=12272s
n=11 cnt=2230000 elapsed=12292s
n=11 cnt=2235000 elapsed=12313s
n=11 cnt=2240000 elapsed=12335s
n=11 cnt=2245000 elapsed=12356s
n=11 cnt=2250000 elapsed=12377s
n=11 cnt=2255000 elapsed=12398s
n=11 cnt=2260000 elapsed=12419s
n=11 cnt=2265000 elapsed=12438s
n=11 cnt=2270000 elapsed=12458s
n=11 cnt=2275000 elapsed=12478s
n=11 cnt=2280000 elapsed=12499s
n=11 cnt=2285000 elapsed=12519s
n=11 cnt=2290000 elapsed=12540s
n=11 cnt=2295000 elapsed=12562s
n=11 cnt=2300000 elapsed=12583s
n=11 cnt=2305000 elapsed=12604s
n=11 cnt=2310000 elapsed=12623s
n=11 cnt=2315000 elapsed=12643s
n=11 cnt=2320000 elapsed=12662s
n=11 cnt=2325000 elapsed=12680s
n=11 cnt=2330000 elapsed=12699s
n=11 cnt=2335000 elapsed=12718s
n=11 cnt=2340000 elapsed=12737s
n=11 cnt=2345000 elapsed=12757s
n=11 cnt=2350000 elapsed=12777s
n=11 cnt=2355000 elapsed=12797s
n=11 cnt=2360000 elapsed=12817s
n=11 cnt=2365000 elapsed=12837s
n=11 cnt=2370000 elapsed=12856s
n=11 cnt=2375000 elapsed=12875s
n=11 cnt=2380000 elapsed=12895s
n=11 cnt=2385000 elapsed=12915s
n=11 cnt=2390000 elapsed=12934s
n=11 cnt=2395000 elapsed=12954s
n=11 cnt=2400000 elapsed=12973s
n=11 cnt=2405000 elapsed=12993s
n=11 cnt=2410000 elapsed=13012s
n=11 cnt=2415000 elapsed=13032s
n=11 cnt=2420000 elapsed=13051s
n=11 cnt=2425000 elapsed=13071s
n=11 cnt=2430000 elapsed=13091s
n=11 cnt=2435000 elapsed=13114s
n=11 cnt=2440000 elapsed=13136s
n=11 cnt=2445000 elapsed=13159s
n=11 cnt=2450000 elapsed=13183s
n=11 cnt=2455000 elapsed=13208s
n=11 cnt=2460000 elapsed=13231s
n=11 cnt=2465000 elapsed=13253s
n=11 cnt=2470000 elapsed=13274s
n=11 cnt=2475000 elapsed=13297s
n=11 cnt=2480000 elapsed=13321s
n=11 cnt=2485000 elapsed=13346s
n=11 cnt=2490000 elapsed=13370s
n=11 cnt=2495000 elapsed=13393s
n=11 cnt=2500000 elapsed=13415s
n=11 cnt=2505000 elapsed=13439s
n=11 cnt=2510000 elapsed=13460s
n=11 cnt=2515000 elapsed=13481s
n=11 cnt=2520000 elapsed=13502s
n=11 cnt=2525000 elapsed=13524s
n=11 cnt=2530000 elapsed=13546s
