[n=14 it=1 t=0s] min-decomp=5 (bound 6) m=57
[n=14 it=64800 t=5222s] cur=5 best=5 m=59 cache=49485
[n=14 it=65000 t=5237s] cur=5 best=5 m=46 cache=49644
[n=14 it=65400 t=5261s] cur=5 best=5 m=61 cache=49945
[n=14 it=65600 t=5274s] cur=5 best=5 m=53 cache=50103
[n=14 it=65800 t=5286s] cur=5 best=5 m=52 cache=50247
[n=14 it=66200 t=5310s] cur=5 best=5 m=58 cache=50545
[n=14 it=66400 t=5323s] cur=5 best=5 m=51 cache=50699
[n=14 it=66600 t=5333s] cur=5 best=5 m=49 cache=50843
[n=14 it=66800 t=5346s] cur=5 best=5 m=47 cache=50994
[n=14 it=67000 t=5359s] cur=5 best=5 m=52 cache=51144
[n=14 it=67400 t=5383s] cur=5 best=5 m=49 cache=51441
[n=14 it=67600 t=5395s] cur=5 best=5 m=54 cache=51591
[n=14] done: 67691 its, best min-decomp 5 vs bound 6
