GRAPH 181 orientations=1758 profiles=1758 ss=1044 tau_skip=142 safe=238 checks=334 packed=334 cand=0 deferred=0
GRAPH 182 orientations=1770 profiles=1770 ss=1056 tau_skip=142 safe=238 checks=334 packed=334 cand=0 deferred=0
GRAPH 183 orientations=1778 profiles=1778 ss=1064 tau_skip=142 safe=238 checks=334 packed=334 cand=0 deferred=0
GRAPH 184 orientations=1790 profiles=1790 ss=1074 tau_skip=142 safe=238 checks=336 packed=336 cand=0 deferred=0
GRAPH 185 orientations=1802 profiles=1802 ss=1086 tau_skip=142 safe=238 checks=336 packed=336 cand=0 deferred=0
GRAPH 186 orientations=1802 profiles=1802 ss=1086 tau_skip=142 safe=238 checks=336 packed=336 cand=0 deferred=0
GRAPH 187 orientations=1814 profiles=1814 ss=1098 tau_skip=142 safe=238 checks=336 packed=336 cand=0 deferred=0
GRAPH 188 orientations=1814 profiles=1814 ss=1098 tau_skip=142 safe=238 checks=336 packed=336 cand=0 deferred=0
GRAPH 189 orientations=1814 profiles=1814 ss=1098 tau_skip=142 safe=238 checks=336 packed=336 cand=0 deferred=0
GRAPH 190 orientations=1814 profiles=1814 ss=1098 tau_skip=142 safe=238 checks=336 packed=336 cand=0 deferred=0
GRAPH 191 orientations=1814 profiles=1814 ss=1098 tau_skip=142 safe=238 checks=336 packed=336 cand=0 deferred=0
GRAPH 192 orientations=1826 profiles=1826 ss=1110 tau_skip=142 safe=238 checks=336 packed=336 cand=0 deferred=0
GRAPH 193 orientations=1836 profiles=1836 ss=1120 tau_skip=142 safe=238 checks=336 packed=336 cand=0 deferred=0
GRAPH 194 orientations=1840 profiles=1840 ss=1124 tau_skip=142 safe=238 checks=336 packed=336 cand=0 deferred=0
GRAPH 195 orientations=1844 profiles=1844 ss=1128 tau_skip=142 safe=238 checks=336 packed=336 cand=0 deferred=0
GRAPH 196 orientations=1844 profiles=1844 ss=1128 tau_skip=142 safe=238 checks=336 packed=336 cand=0 deferred=0
GRAPH 197 orientations=1856 profiles=1856 ss=1140 tau_skip=142 safe=238 checks=336 packed=336 cand=0 deferred=0
GRAPH 198 orientations=1856 profiles=1856 ss=1140 tau_skip=142 safe=238 checks=336 packed=336 cand=0 deferred=0
GRAPH 199 orientations=1856 profiles=1856 ss=1140 tau_skip=142 safe=238 checks=336 packed=336 cand=0 deferred=0
GRAPH 200 orientations=1856 profiles=1856 ss=1140 tau_skip=142 safe=238 checks=336 packed=336 cand=0 deferred=0
GRAPH 201 orientations=1856 profiles=1856 ss=1140 tau_skip=142 safe=238 checks=336 packed=336 cand=0 deferred=0
GRAPH 202 orientations=1856 profiles=1856 ss=1140 tau_skip=142 safe=238 checks=336 packed=336 cand=0 deferred=0
GRAPH 203 orientations=1856 profiles=1856 ss=1140 tau_skip=142 safe=238 checks=336 packed=336 cand=0 deferred=0
GRAPH 204 orientations=1856 profiles=1856 ss=1140 tau_skip=142 safe=238 checks=336 packed=336 cand=0 deferred=0
GRAPH 205 orientations=1856 profiles=1856 ss=1140 tau_skip=142 safe=238 checks=336 packed=336 cand=0 deferred=0
GRAPH 206 orientations=1868 profiles=1868 ss=1152 tau_skip=142 safe=238 checks=336 packed=336 cand=0 deferred=0
GRAPH 207 orientations=1880 profiles=1880 ss=1164 tau_skip=142 safe=238 checks=336 packed=336 cand=0 deferred=0
GRAPH 208 orientations=1892 profiles=1892 ss=1176 tau_skip=142 safe=238 checks=336 packed=336 cand=0 deferred=0
GRAPH 209 orientations=1892 profiles=1892 ss=1176 tau_skip=142 safe=238 checks=336 packed=336 cand=0 deferred=0
GRAPH 210 orientations=1892 profiles=1892 ss=1176 tau_skip=142 safe=238 checks=336 packed=336 cand=0 deferred=0
GRAPH 211 orientations=1898 profiles=1898 ss=1182 tau_skip=142 safe=238 checks=336 packed=336 cand=0 deferred=0
GRAPH 212 orientations=1902 profiles=1902 ss=1186 tau_skip=142 safe=238 checks=336 packed=336 cand=0 deferred=0
GRAPH 213 orientations=1902 profiles=1902 ss=1186 tau_skip=142 safe=238 checks=336 packed=336 cand=0 deferred=0
GRAPH 214 orientations=1902 profiles=1902 ss=1186 tau_skip=142 safe=238 checks=336 packed=336 cand=0 deferred=0
GRAPH 215 orientations=1902 profiles=1902 ss=1186 tau_skip=142 safe=238 checks=336 packed=336 cand=0 deferred=0
GRAPH 216 orientations=1902 profiles=1902 ss=1186 tau_skip=142 safe=238 checks=336 packed=336 cand=0 deferred=0
GRAPH 217 orientations=1902 profiles=1902 ss=1186 tau_skip=142 safe=238 checks=336 packed=336 cand=0 deferred=0
GRAPH 218 orientations=1902 profiles=1902 ss=1186 tau_skip=142 safe=238 checks=336 packed=336 cand=0 deferred=0
GRAPH 219 orientations=1902 profiles=1902 ss=1186 tau_skip=142 safe=238 checks=336 packed=336 cand=0 deferred=0
GRAPH 220 orientations=1902 profiles=1902 ss=1186 tau_skip=142 safe=238 checks=336 packed=336 cand=0 deferred=0
GRAPH 221 orientations=1902 profiles=1902 ss=1186 tau_skip=142 safe=238 checks=336 packed=336 cand=0 deferred=0
GRAPH 222 orientations=1902 profiles=1902 ss=1186 tau_skip=142 safe=238 checks=336 packed=336 cand=0 deferred=0
GRAPH 223 orientations=1902 profiles=1902 ss=1186 tau_skip=142 safe=238 checks=336 packed=336 cand=0 deferred=0
GRAPH 224 orientations=1902 profiles=1902 ss=1186 tau_skip=142 safe=238 checks=336 packed=336 cand=0 deferred=0
GRAPH 225 orientations=1902 profiles=1902 ss=1186 tau_skip=142 safe=238 checks=336 packed=336 cand=0 deferred=0
GRAPH 226 orientations=1902 profiles=1902 ss=1186 tau_skip=142 safe=238 checks=336 packed=336 cand=0 deferred=0
GRAPH 227 orientations=1902 profiles=1902 ss=1186 tau_skip=142 safe=238 checks=336 packed=336 cand=0 deferred=0
GRAPH 228 orientations=1902 profiles=1902 ss=1186 tau_skip=142 safe=238 checks=336 packed=336 cand=0 deferred=0
GRAPH 229 orientations=1902 profiles=1902 ss=1186 tau_skip=142 safe=238 checks=336 packed=336 cand=0 deferred=0
GRAPH 230 orientations=1906 profiles=1906 ss=1190 tau_skip=142 safe=238 checks=336 packed=336 cand=0 deferred=0
GRAPH 231 orientations=1912 profiles=1912 ss=1196 tau_skip=142 safe=238 checks=336 packed=336 cand=0 deferred=0
GRAPH 232 orientations=1928 profiles=1928 ss=1212 tau_skip=142 safe=238 checks=336 packed=336 cand=0 deferred=0
