GRAPH 1515 orientations=65631066 profiles=370 ss=324 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1523 orientations=65929278 profiles=374 ss=326 tau_skip=4 safe=4 checks=40 packed=40 cand=0
GRAPH 1531 orientations=66282864 profiles=380 ss=332 tau_skip=4 safe=4 checks=40 packed=40 cand=0
GRAPH 1539 orientations=66584952 profiles=384 ss=332 tau_skip=4 safe=4 checks=44 packed=44 cand=0
GRAPH 1547 orientations=66873138 profiles=388 ss=332 tau_skip=4 safe=6 checks=46 packed=46 cand=0
GRAPH 1555 orientations=67182810 profiles=392 ss=336 tau_skip=4 safe=6 checks=46 packed=46 cand=0
GRAPH 1563 orientations=67496238 profiles=392 ss=336 tau_skip=4 safe=6 checks=46 packed=46 cand=0
GRAPH 1571 orientations=67797852 profiles=404 ss=348 tau_skip=4 safe=6 checks=46 packed=46 cand=0
GRAPH 1579 orientations=68096064 profiles=404 ss=348 tau_skip=4 safe=6 checks=46 packed=46 cand=0
GRAPH 1587 orientations=68412894 profiles=408 ss=352 tau_skip=4 safe=6 checks=46 packed=46 cand=0
GRAPH 1595 orientations=68679924 profiles=408 ss=352 tau_skip=4 safe=6 checks=46 packed=46 cand=0
GRAPH 1603 orientations=69060624 profiles=416 ss=360 tau_skip=4 safe=6 checks=46 packed=46 cand=0
GRAPH 1611 orientations=69423822 profiles=426 ss=370 tau_skip=4 safe=6 checks=46 packed=46 cand=0
GRAPH 1619 orientations=69762216 profiles=426 ss=370 tau_skip=4 safe=6 checks=46 packed=46 cand=0
GRAPH 1627 orientations=70074840 profiles=430 ss=374 tau_skip=4 safe=6 checks=46 packed=46 cand=0
GRAPH 1635 orientations=70380930 profiles=434 ss=378 tau_skip=4 safe=6 checks=46 packed=46 cand=0
GRAPH 1643 orientations=70709424 profiles=438 ss=382 tau_skip=4 safe=6 checks=46 packed=46 cand=0
GRAPH 1651 orientations=71028672 profiles=442 ss=382 tau_skip=4 safe=6 checks=50 packed=50 cand=0
GRAPH 1659 orientations=71335140 profiles=446 ss=386 tau_skip=4 safe=6 checks=50 packed=50 cand=0
GRAPH 1667 orientations=71666418 profiles=456 ss=396 tau_skip=4 safe=6 checks=50 packed=50 cand=0
GRAPH 1675 orientations=72004404 profiles=460 ss=400 tau_skip=4 safe=6 checks=50 packed=50 cand=0
GRAPH 1683 orientations=72290130 profiles=460 ss=400 tau_skip=4 safe=6 checks=50 packed=50 cand=0
GRAPH 1691 orientations=72591534 profiles=460 ss=400 tau_skip=4 safe=6 checks=50 packed=50 cand=0
GRAPH 1699 orientations=72906096 profiles=464 ss=404 tau_skip=4 safe=6 checks=50 packed=50 cand=0
GRAPH 1707 orientations=73222848 profiles=468 ss=408 tau_skip=4 safe=6 checks=50 packed=50 cand=0
GRAPH 1715 orientations=73562316 profiles=468 ss=408 tau_skip=4 safe=6 checks=50 packed=50 cand=0
GRAPH 1723 orientations=73941618 profiles=472 ss=412 tau_skip=4 safe=6 checks=50 packed=50 cand=0
GRAPH 1731 orientations=74247342 profiles=476 ss=412 tau_skip=4 safe=6 checks=54 packed=54 cand=0
GRAPH 1739 orientations=74564064 profiles=480 ss=412 tau_skip=4 safe=6 checks=58 packed=58 cand=0
GRAPH 1747 orientations=74882364 profiles=484 ss=412 tau_skip=4 safe=6 checks=62 packed=62 cand=0
GRAPH 1755 orientations=75226386 profiles=490 ss=418 tau_skip=4 safe=6 checks=62 packed=62 cand=0
GRAPH 1763 orientations=75540294 profiles=490 ss=418 tau_skip=4 safe=6 checks=62 packed=62 cand=0
GRAPH 1771 orientations=75876066 profiles=502 ss=430 tau_skip=4 safe=6 checks=62 packed=62 cand=0
GRAPH 1779 orientations=76236702 profiles=510 ss=438 tau_skip=4 safe=6 checks=62 packed=62 cand=0
GRAPH 1787 orientations=76596186 profiles=514 ss=442 tau_skip=4 safe=6 checks=62 packed=62 cand=0
GRAPH 1795 orientations=76936986 profiles=518 ss=446 tau_skip=4 safe=6 checks=62 packed=62 cand=0
GRAPH 1803 orientations=77294190 profiles=526 ss=454 tau_skip=4 safe=6 checks=62 packed=62 cand=0
