nohup: ignoring input
200 cubes, per-cube limit 30s, 4 jobs
cube 150: TIMEOUT   [151/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 151}]
cube 151: TIMEOUT   [152/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 152}]
cube 152: TIMEOUT   [153/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 153}]
cube 153: TIMEOUT   [154/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 154}]
cube 154: TIMEOUT   [155/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 155}]
cube 155: TIMEOUT   [156/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 156}]
cube 157: TIMEOUT   [157/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 157}]
cube 156: TIMEOUT   [158/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 158}]
cube 158: TIMEOUT   [159/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 159}]
cube 159: TIMEOUT   [160/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 160}]
cube 161: TIMEOUT   [161/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 161}]
cube 160: TIMEOUT   [162/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 162}]
cube 162: TIMEOUT   [163/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 163}]
cube 163: TIMEOUT   [164/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 164}]
cube 164: TIMEOUT   [165/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 165}]
cube 167: TIMEOUT   [166/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 166}]
cube 166: TIMEOUT   [167/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 167}]
cube 165: TIMEOUT   [168/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 168}]
cube 168: TIMEOUT   [169/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 169}]
cube 170: TIMEOUT   [170/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 170}]
cube 171: TIMEOUT   [171/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 171}]
cube 169: TIMEOUT   [172/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 172}]
cube 172: TIMEOUT   [173/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 173}]
cube 173: TIMEOUT   [174/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 174}]
cube 174: TIMEOUT   [175/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 175}]
cube 175: TIMEOUT   [176/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 176}]
cube 176: TIMEOUT   [177/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 177}]
cube 177: TIMEOUT   [178/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 178}]
cube 178: TIMEOUT   [179/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 179}]
cube 179: TIMEOUT   [180/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 180}]
cube 180: TIMEOUT   [181/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 181}]
cube 181: TIMEOUT   [182/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 182}]
cube 182: TIMEOUT   [183/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 183}]
cube 183: TIMEOUT   [184/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 184}]
cube 184: TIMEOUT   [185/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 185}]
cube 185: TIMEOUT   [186/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 186}]
cube 186: TIMEOUT   [187/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 187}]
cube 187: TIMEOUT   [188/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 188}]
